Gladson Cameli;PP;AC;Inquérito nº 3989/2015 - STF
Gladson Cameli;PP;AC;Inquérito nº 3533/2012 - STF
Jorge Viana;PT;AC;Inquérito nº 4393/2017 - STJ
Sérgio Petecão;PSD;AC;Ação penal nº 880/2014 - STF
Sérgio Petecão;PSD;AC;Ação penal nº 542/2010 - STF
Sérgio Petecão;PSD;AC;nquérito nº 3851/2014 - STF
Sérgio Petecão;PSD;AC;Inquérito nº 3598/2013 - STF
Benedito de Lira;PP;AL;Inquérito nº 3989/2015 - STF
Benedito de Lira;PP;AL;Inquérito nº 3994/2015 - STF
Benedito de Lira;PP;AL;Inquérito nº 3996/2015 - STF
Fernando Collor;PTC;AL;Inquérito nº 3883/2014 - STF
Fernando Collor;PTC;AL;Inquérito nº 4427/2017 - STF
Fernando Collor;PTC;AL;Inquérito nº 4250/2016 - STF
Fernando Collor;PTC;AL;Medida cautelar nº 86520.2000.600.0000 - TSE
Renan Calheiros;PMDB;AL;Inquérito nº 4213/2016 - STF
Renan Calheiros;PMDB;AL;Inquérito nº 4216/2016 - STF
Renan Calheiros;PMDB;AL;Inquérito nº 4215/2016 - STF
Renan Calheiros;PMDB;AL;Inquérito nº 3989/2015 - STF
Renan Calheiros;PMDB;AL;Inquérito nº 3984/2015 - STF
Renan Calheiros;PMDB;AL;Inquérito nº 3993/2015 - STF
Renan Calheiros;PMDB;AL;Ação civil pública nº 0060664-26.2014.4.01.3400 - TRF
Renan Calheiros;PMDB;AL;Petição nº 5617/2015 - STF
Renan Calheiros;PMDB;AL;Apelação cível nº 0000163-34.2012.4.05.8002 - TRF5
Renan Calheiros;PMDB;AL;Inquérito nº 2593/2007 - STJ
Renan Calheiros;PMDB;AL;Inquérito nº 4389/2017 - STF
Renan Calheiros;PMDB;AL;Inquérito nº 4426/2017 - STJ
Renan Calheiros;PMDB;AL;Inquérito nº 4437/2017 - STF
Renan Calheiros;PMDB;AL;Inquérito nº 4464/2017 - STF
Eduardo Braga;PMDB;AM;Processos nº 0206572-51.2010.8.04.0001 - TJ
Eduardo Braga;PMDB;AM;Processos nº 0243185-07.2009.8.04.0001 - TJ
Eduardo Braga;PMDB;AM;Processos nº 0752476-08.2008.8.04.0001 - TJ
Eduardo Braga;PMDB;AM;Inquérito nº 4429/2017 - STF
Omar Aziz;PSD;AM;Inquérito nº 4264/2016 - STF
Omar Aziz;PSD;AM;Ação civil pública nº 0204823-67.2008.8.04.0001 - TJ
Omar Aziz;PSD;AM;Inquérito nº 4429/2017 - STF
Vanessa Grazziotin;PCdoB;AM;Inquérito nº 3368/2011 - STF
Vanessa Grazziotin;PCdoB;AM;Inquérito nº 4418/2017 - STF
João Capiberibe;PSB;AP;Recurso ordinário nº 21264/2003 - TSE
João Capiberibe;PSB;AP;Processos nº 0003365-75.1998.8.03.0001 - TJ
João Capiberibe;PSB;AP;Processos nº 0000576-35.2000.8.03.0001- - TJ
Lídice da Mata;PSB;BA;Inquérito nº 4396/2017 - STF
Otto Alencar;PSD;BA;Ação civil pública nº 0010939-63.2003.4.01.3300 - TRF
Eunício Oliveira;PMDB;CE;Inquérito nº 4437/2017 - STF
Lúcia Vânia;PSB;GO;Prestação de contas nº 21033/2002 - TSE
Lúcia Vânia;PSB;GO;Ação civil pública nº 183279-87.2012.8.09.0051 - TJ
Edison Lobão;PMDB;MA;Inquérito nº 3977/2015 - STF
Edison Lobão;PMDB;MA;Inquérito nº 3989/2015 - STF
Edison Lobão;PMDB;MA;Inquérito nº 4260/2016 - STF
Edison Lobão;PMDB;MA;Inquérito nº 4384/2017 - STF
Aécio Neves;PSDB;MG;Inquérito nº 4244/2016 - STF
Aécio Neves;PSDB;MG;Inquérito nº 4246/2016 - STF
Aécio Neves;PSDB;MG;Inquérito nº 4392/2016 - STF
Aécio Neves;PSDB;MG;Inquérito nº 4414/2017 - STF
Aécio Neves;PSDB;MG;Inquérito nº 4423/2017 - STF
Aécio Neves;PSDB;MG;Inquérito nº 4436/2017 - STF
Aécio Neves;PSDB;MG;Inquérito nº 4444/2017 - STJ
Aécio Neves;PSDB;MG;Inquérito nº 4506/2017 - STF
Aécio Neves;PSDB;MG;Inquérito nº 4519/2017 - STF
Zeze Perrella;PMDB;MG;Ação civil pública nº 2004.34.00.048370-0 - TRF
Zeze Perrella;PMDB;MG;Ação civil pública nº 0054594-64.2014.8.13.0024 - TJ
Simone Tebet;PMDB;MS;Ação civil pública nº 0003272-25.2014.4.03.6003 - TRF
Simone Tebet;PMDB;MS;Ação civil pública nº 0807922-90.2016.8.12.0001 - TJ
Cidinho Santos;PR;MT;Ação civil de improbidade administrativa nº 0028725-83.2009.4.01.3600 - TRF
Cidinho Santos;PR;MT;Ação civil de improbidade administrativa nº 0016495-67.2013.4.01.3600 - TRF
Cidinho Santos;PR;MT;Ação civil de improbidade administrativa nº 0016005-50.2010.4.01.3600- TRF
Cidinho Santos;PR;MT;Ação civil pública nº 1509-27.2008.811.0026 - TJ
Wellington Fagundes;PR;MT;Inquérito nº 2340/2006 - STF
Wellington Fagundes;PR;MT;Ação civil pública nº 0001591-02.2014.4.01.3602 - TRF
Jader Barbalho;PMDB;PA;Ação civil pública nº 0003001-82.2007.4.01.4300 - TRF
Jader Barbalho;PMDB;PA;Ação civil nº 0007518-62.2009.4.01.4300 - TRF
Jader Barbalho;PMDB;PA;Ação civil pública nº 0034738-94.2001.8.14.0301 - TJ
Jader Barbalho;PMDB;PA;Inquérito nº 2909/2010 - STF
Paulo Rocha;PT;PA;Ação civil nº 0029741-61.2007.4.01.3400 - TRF
Paulo Rocha;PT;PA;Inquérito nº 4449/2017 - STF
Cássio Cunha Lima;PSDB;PB;Inquérito nº 4.386/2017 - STF
José Maranhão;PMDB;PB;Ação civil pública nº 0020580-83.2014.815.2001 - TJ
Fernando Bezerra Coelho;PMDB;PE;Inquérito nº 4005/2015 - STF
Fernando Bezerra Coelho;PMDB;PE;Inquérito nº 3958/2015 - STF
Fernando Bezerra Coelho;PMDB;PE;Inquérito nº 4139/2015 - STF
Fernando Bezerra Coelho;PMDB;PE;Inquérito nº 3710/2013 - STF
Fernando Bezerra Coelho;PMDB;PE;Inquérito nº 3707/2013 - STF
Fernando Bezerra Coelho;PMDB;PE;Inquérito nº 3090/2011 - STF
Fernando Bezerra Coelho;PMDB;PE;Ação civil pública nº 0001250-14.2011.4.05.8308 - TRF
Fernando Bezerra Coelho;PMDB;PE;Ação civil pública nº 0000646-65.2003.8.17.1130 - TJ
Fernando Bezerra Coelho;PMDB;PE;Inquérito nº 4458/2017 - STF
Humberto Costa;PT;PE;Inquérito nº 3985/2015 - STF
Humberto Costa;PT;PE;Inquérito nº 4383/2017 - STF
Ciro Nogueira;PP;PI;Inquérito nº 3910/2014 - STF
Ciro Nogueira;PP;PI;Inquérito nº 3989/2015 - STF
Ciro Nogueira;PP;PI;Ação popular nº 0039272-79.2004.4.01.3400 - TRF
Ciro Nogueira;PP;PI;Ação civil nº 0005703-81.2014.4.01.4000 - TRF
Ciro Nogueira;PP;PI;Ação civil nº 0039259-80.2004.4.01.3400 - TRF
Ciro Nogueira;PP;PI;Inquérito nº 4407/2017 - STF
Elmano Férrer;PMDB;PI;Ação civil pública nº 0001666-75.2013.8.18.0140 - TJ
Gleisi Hoffmann;PT;PR;Inquérito nº 3979/2015 - STF
Gleisi Hoffmann;PT;PR;Inquérito nº nº 4.325/2017 - STF
Roberto Requião;PMDB;PR;Ação civil pública nº 2007.70.00.031462 - TRF
Roberto Requião;PMDB;PR;Ação civil pública nº 0002680-03.2015.8.16.0004 - TJ
Lindbergh Farias;PT;RJ;Inquérito nº 3988/2015 - STF
Lindbergh Farias;PT;RJ;Inquérito nº 3616/2013 - STF
Lindbergh Farias;PT;RJ;Inquérito nº 3595/2013 - STF
Lindbergh Farias;PT;RJ;Inquérito nº 3390/2011 - STF
Lindbergh Farias;PT;RJ;Inquérito nº 3334/2011 - STF
Lindbergh Farias;PT;RJ;Inquérito nº 3124/2011 - STF
Lindbergh Farias;PT;RJ;Ação civil de improbidade administrativa nº 0022162-35.2015.4.02.5120 - TRF
Lindbergh Farias;PT;RJ;Ação civil pública nº 0016132-91.2015.8.19.0038 - TJ
Lindbergh Farias;PT;RJ;Ação civil pública nº 0011915-05.2015.8.19.0038 - TJ
Lindbergh Farias;PT;RJ;Ação civil pública nº 0013922-67.2015.8.19.0038 - TJ
Lindbergh Farias;PT;RJ;Ação civil de improbidade administrativa nº 0044377-54.2011.8.19.0038 - TJ
Lindbergh Farias;PT;RJ;Ação civil de improbidade administrativa nº 0004561-02.2010.8.19.0038 - TJ
Lindbergh Farias;PT;RJ;Ação civil de improbidade administrativa nº 0016201-02.2010.8.19.0038 - TJ
Lindbergh Farias;PT;RJ;Ação civil de improbidade administrativa nº 0055893-08.2010.8.19.0038 - TJ
Lindbergh Farias;PT;RJ;Ação civil pública nº 0020064-63.2010.8.19.0038 - TJ
Lindbergh Farias;PT;RJ;Ação civil de improbidade administrativa nº 0056748-21.2009.8.19.0038- - TJ
Lindbergh Farias;PT;RJ;Ação civil pública nº 0044322-79.2006.8.19.0038 - TJ
Lindbergh Farias;PT;RJ;Inquérito nº 4415/2017 - STF
José Agripino;DEM;RN;Inquérito nº 4141/2015 - STF
José Agripino;DEM;RN;Inquérito nº 4184/2015 - STF
Ivo Cassol;PP;RO;Ação penal nº 565/2011 - STF
Ivo Cassol;PP;RO;Ação penal nº 562/2011 - STF
Ivo Cassol;PP;RO;Inquérito nº 2828/2009 - STF
Ivo Cassol;PP;RO;Inquérito nº 3614/2013 - STF
Ivo Cassol;PP;RO;Inquérito nº 3742/2013 - STF
Ivo Cassol;PP;RO;Inquérito nº 3820/2014 - STF
Ivo Cassol;PP;RO;Ação civil pública nº 0002458-29.2009.4.01.4100 - TRF
Ivo Cassol;PP;RO;Ação civil pública nº 000261011.2008.4.01.4101. - TRF
Ivo Cassol;PP;RO;Ação civil pública nº 0003538-93.2007.4.01.4101 - TRF
Ivo Cassol;PP;RO;Ação civil pública nº 0001956-58.2007.4.01.4101 - TRF
Ivo Cassol;PP;RO;Inquérito nº 4411/2017 - STF
Valdir Raupp;PMDB;RO;Ação civil pública nº 0116671-57.1999.8.22.0001 - TJ
Valdir Raupp;PMDB;RO;Ação penal nº 577/2011 - STF
Valdir Raupp;PMDB;RO;Inquérito nº 4433/2017 - STF
Romero Jucá;PMDB;RR;Inquérito nº 3989/2015 - STF
Romero Jucá;PMDB;RR;Inquérito nº 2116/2004 - STF
Romero Jucá;PMDB;RR;Inquérito nº 2963/2010 - STF
Romero Jucá;PMDB;RR;Inquérito nº 3297/2011 - STF
Romero Jucá;PMDB;RR;Apelação nº 0020239-50.1997.4.01.3400 - TRF
Romero Jucá;PMDB;RR;Inquérito nº 4382/2017 - STF
Romero Jucá;PMDB;RR;Inquérito nº 4413/2017 - STJ
Romero Jucá;PMDB;RR;Inquérito nº 4426/2017 - STJ
Romero Jucá;PMDB;RR;Inquérito nº 4437/2017 - STJ
Romero Jucá;PMDB;RR;Inquérito nº 4460/2017 - STJ
Telmário Mota;PTB;RR;Inquérito nº 4296/2016 - STF
Dalirio Beber;PSDB;SC;Inquérito nº 4408/2017 - STF
Dário Berger;PMDB;SC;Ação penal nº 938/2015 - STF
Dário Berger;PMDB;SC;Inquérito nº 2853/2009 - STF
Dário Berger;PMDB;SC;Inquérito nº 3927/2014 - STF
Dário Berger;PMDB;SC;Ação civil pública nº 5006967-09.2010.404.7200 - TRF
Dário Berger;PMDB;SC;Ação civil pública nº 0033588-03.2011.8.24.0023 - TJ
Dário Berger;PMDB;SC;Ação penal nº 0900140-09.2014.8.24.0023 - TJ
Dário Berger;PMDB;SC;Ação civil pública nº 0047334-35.2011.8.24.0023 - TJ
Dário Berger;PMDB;SC;Ação civil pública nº 0016664-14.2011.8.24.0023 - TJ
Dário Berger;PMDB;SC;Ação civil pública nº 0001594-88.2010.8.24.0023 - TJ
Dário Berger;PMDB;SC;Ação civil pública nº 0018242-46.2010.8.24.0023 - TJ
Dário Berger;PMDB;SC;Ação civil pública nº 0900134-02.2014.8.24.0023 - TJ
Dário Berger;PMDB;SC;Ação civil pública nº 0910260-48.2013.8.24.0023 - TJ
Dário Berger;PMDB;SC;Ação civil pública nº 0031429-87.2011.8.24.0023 - TJ
Dário Berger;PMDB;SC;Ação civil pública nº 0910044-87.2013.8.24.0023 - TJ
Dário Berger;PMDB;SC;Ação civil pública nº 0007597-54.2013.8.24.0023 - TJ
Dário Berger;PMDB;SC;Ação civil pública nº 0059564-46.2010.8.24.0023 - TJ
Dário Berger;PMDB;SC;Ação civil pública nº 0035922-44.2010.8.24.0023 - TJ
Paulo Bauer;PSDB;SC;Apelação cível nº 0026503-25.1995.8.24.0023 - TJ
Paulo Bauer;PSDB;SC;Ação civil pública nº 0004189-11.2010.8.24.0007 - TJ
Eduardo Amorim;PSDB;SE;Ação civil pública nº 200711800050 - TJ
Eduardo Amorim;PSDB;SE;Inquérito nº 4438/2017 - STF
Maria do Carmo Alves;DEM;SE;Inquérito nº 4438/2017 - STJ
José Serra;PSDB;SP;Inquérito nº 4.428/2017 - STF
Marta Suplicy;PMDB;SP;Ação civil pública nº 0024208-50.2004.8.26.0053 - TJ
Marta Suplicy;PMDB;SP;Ação civil pública nº 0045264-66.2009.8.26.0053 - TJ
Marta Suplicy;PMDB;SP;Ação civil pública nº 0044385-59.2009.8.26.0053 - TJ
Marta Suplicy;PMDB;SP;Ação civil pública nº 0044311-05.2009.8.26.0053 - TJ
Marta Suplicy;PMDB;SP;Ação civil pública nº 0125765-75.2007.8.26.0053 - TJ
Kátia Abreu;PMDB;TO;Ação ordinária nº 0016414-94.2009.4.01.4300 - TRF
Kátia Abreu;PMDB;TO;Inquérito nº 4419/2017 - STF
Vicentinho Alves;PR;TO;Inquérito nº 3807/2013 - STF
Vicentinho Alves;PR;TO;Ação civil pública nº 5000567-70.2006.827.2729 - TJ
